Description,Color,Occasion
Slim fit dress shirt with long sleeves and buttoned cuffs,Yellow,Casual
Wool sweater with cable knit design,Maroon,Official
Wool sweater with cable knit design,Mint,Official
Corduroy pants with side pockets and zip fly,Navy,Party
Relaxed fit collared shirt with short sleeves,Lavender,Casual
Silk tie with a subtle pattern,Lavender,Official
Polo shirt with embroidered logo on the chest,Cream,Casual
Velvet blazer with single-breasted closure,Green,Official
Corduroy pants with side pockets and zip fly,Burgundy,Official
Relaxed fit collared shirt with short sleeves,White,Casual
Cotton t-shirt with graphic print and ribbed neckline,Pink,Casual
Velvet blazer with single-breasted closure,Cream,Official
Oversized cardigan with front buttons,Brown,Party
Floral print sundress with spaghetti straps,Navy,Party
Cotton t-shirt with graphic print and ribbed neckline,White,Casual
Cotton t-shirt with graphic print and ribbed neckline,Blue,Casual
Sequin top with V-neck and short sleeves,Lavender,Official
Chiffon blouse with ruffled sleeves and keyhole back,Black,Casual
Relaxed fit collared shirt with short sleeves,Olive,Casual
Cotton t-shirt with graphic print and ribbed neckline,Burgundy,Casual
Wool sweater with cable knit design,Black,Official
Cotton t-shirt with graphic print and ribbed neckline,Grey,Casual
Chiffon blouse with ruffled sleeves and keyhole back,Lavender,Casual
Hooded sweatshirt with kangaroo pocket,Lavender,Casual
Silk tie with a subtle pattern,Sky blue,Party
Linen trousers with tapered legs and belt loops,Charcoal,Party
Velvet blazer with single-breasted closure,Pink,Official
Relaxed fit collared shirt with short sleeves,Beige,Casual
Pleated midi skirt with elastic waistband,Blue,Official
Oversized cardigan with front buttons,Beige,Casual
Chiffon blouse with ruffled sleeves and keyhole back,Lavender,Casual
Slim fit dress shirt with long sleeves and buttoned cuffs,Olive,Casual
Sequin top with V-neck and short sleeves,Black,Party
Silk tie with a subtle pattern,Olive,Official
Chiffon blouse with ruffled sleeves and keyhole back,Cream,Casual
Tailored suit jacket with notched lapels,Pink,Official
Turtleneck sweater with ribbed trims,Beige,Party
Tailored suit jacket with notched lapels,Blue,Official
Wool sweater with cable knit design,White,Official
Corduroy pants with side pockets and zip fly,Khaki,Official
Slim fit dress shirt with long sleeves and buttoned cuffs,Blue,Casual
